"","text","time","sentiment"
"1","Ещё до просмотра прикидывал, в каком формате Купола можно положить на экран. Представилось, что если уровень детализации будет задан близким к роману, то никакого фильма не хватит. Напрашивался мини-сериал, серий на 10-12. 
Судя по темпу развития 1-й серии, на то очень похоже, что где-то так и будет. Если, конечно, не начеутся ""режиссёрские находки"", уводящие с каноничной тропы сюжета и позволяющие растягивать что угодно на тыщу тридцать восемь серий.
Тщание в проработке деталей и соответствие образов действующих лиц (в т.ч. кастинг), какбэ намекают, что дядюшка Степан Король не просто так слонялся по съёмочной площадке, а лично выписывал лычки и раздавал подзатыльников, дабы заохотить и понудить.
Нравится","2013-06-27T16:51:21+03:00","positive"
"2","Я начал смотреть этот сериал, а потом скачал книгу, ну книга это просто жесть. В сериале этого и близкого нет. Много несоответствия. Но все-равно сейчас ничего другого нормального из сериалов нету, а в ожидании Ходячих и Во все тяжкие - можно смотреть Под куполом. Читайте книги, господа.","2013-07-12T12:33:17+03:00","positive"
"3","СУпер комедия, краткое  описание следующих серий как Я их вижу. 14 серия: опять дети разбежались в конце серии труп. 15 серия: собрались пионеры,включили МЕЛАФОН ,опять труп. 16 серия; барби спасает кучу народа,но опять потери уже 2-трупа. 42 серия:нужен труп,но они закочились,монарх с помощь нло открывает дырку в куполе и туда забегает армия так тыщ 20,и сюжет просто фантастически равивается в новом направлении,по старому сценарию. 1278 серия  заключительная: живой барби,монарх и главный злодей,но его барби все же завалил.нло свалило  невыдержав этот бред сценаристов. хепи энд.","2013-09-19T00:07:58+03:00","negative"
"4","Да ладно вам, мне как человеку который не читал эту книгу, сериал очень даже понравился, сейчас мало сериалов которых хоть приятно смотреть...... Советую посмотреть, жду след. серии!!","2013-09-01T09:23:49+03:00","positive"
"5","Ребят, сам сериал и норм. НО по сравнению с книгой это просто кал.
Посмотрев первую серию там сразу намутили что-то с чем-то, я люблю спойлить, но как ты поспойлишь когда с первой серии начинается то, чего в книге и в помине не было. 
Читайте книгу.","2013-07-08T13:26:22+03:00","negative"
"6","При всем моем уважении к творчеству Кинга я считаю, что просмотр этого сериала - напрасная трата времени. Уважаемые люди, читайте лучше саму книгу!","2013-07-09T15:19:30+03:00","negative"
"7","после просмотра 1 сезона - возникает вопрос, если будет второй сезон - а смотреть ли его:???
затянуто, но досмотрел до конца и в конце сказал - ""и нахрена я его смотрел""","2013-11-12T16:04:20+02:00","negative"
"8","Как всегда: начали за здравие, кончили мыльной оперой. Зачем сценаристам вообще этот купол, они и без него прекрасно бы справились.","2013-08-06T17:21:08+03:00","negative"
"9","В этом сериале стоит  посмотреть только первую серию.  Я посмотрел 3.  В сюжет остальных серий поведение людей не соответствует человеческому  поведению в момент кризиса .    Люди сидят отрезанными от мира в течение нескольких дней без электричества,  в сюжете якобы  у нескольких есть генератор.  И свет как  теперь почти у всех.  Люди СПОКОЙНО ездят на машинах,  сидят в баре и ужинают, достают молоко из холодильника (нет электричества &gt;2 дней),   набирают воду из крана  (электро насосы!).    Хотя даже обычный генератор 2квт  будет есть 1л бензина в час.    Умный бы сценарист нарисовал бы солнечные батареи, а тут….","2013-08-14T22:49:57+03:00","negative"
"10","Я бы на месте Стивена Кинга написал роман про режиссеров, сценаристов, актеров, которые из его книг делают дерьмо, теряется смысл, выдумывается ненужные моменты, искажают текст под требование массы. Фанаты С. Кинга меня поймут.","2013-10-15T10:55:01+03:00","negative"
